Hugo_Symbol	type	freq	data	class	n.samples	n.patients
ASXL2	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
ETV1	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
CARD11	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
NTRK3	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
RB1	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
AKT1	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
TSC2	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
FBXW7	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
NF2	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
ERCC2	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
STK11	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
SMAD4	HER2+	0	brca_mbcproject_wagle_2017	Metastasis	37	35
PIK3CA	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
KMT2C	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
KMT2D	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MTOR	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
SYNE1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CDH1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PTEN	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ESR1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
SETD2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NCOR1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ARID1A	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
TBX3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CDKN2A	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
ERBB2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
IKBKE	TNBC	0.4	brca_mbcproject_wagle_2017	Metastasis	9	8
TET2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FLT1	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
PIK3CG	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NSD1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MET	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
AMER1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NF1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
TAF1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CBFB	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
UBR5	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
EP300	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FANCD2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
JAK3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ERBB3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MAP3K1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PALB2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MDM4	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
JAK2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FLT4	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
APC	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ATRX	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
EGFR	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ERCC5	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
CDC73	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
KMT2A	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
IRS2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
AR	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
MYH9	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
AKAP9	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
DDR2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ASXL1	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
SMARCA4	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ATM	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
KRAS	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
RUNX1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
BAP1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CREBBP	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
AURKB	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ERBB4	TNBC	0.4	brca_mbcproject_wagle_2017	Metastasis	9	8
NOTCH1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PTPRD	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PBRM1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
RAD50	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ERCC3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MAPK1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ABL1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
SF3B1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FGFR2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PIK3CD	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PDE4DIP	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FANCA	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FGFR1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MSH6	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CD79B	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ROS1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CTCF	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NTRK1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NPM1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PMS2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
WT1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ATR	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PTPRT	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
BLM	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
KDM6A	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FH	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PIK3R1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MSH2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
AURKA	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
DNMT3A	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
BRCA1	TNBC	0.4	brca_mbcproject_wagle_2017	Metastasis	9	8
AKT3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
SDHA	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CDK12	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
GNAQ	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
HNF1A	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
BRCA2	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
KDM5C	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
BCL6	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PHOX2B	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PIK3CB	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
TNFAIP3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
SMARCD1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
GPR124	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MPL	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
XPO1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CASP8	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CCND3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MAP3K13	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
GATA3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MAP2K4	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FLCN	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ARID2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MEN1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MRE11A	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MITF	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
DICER1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
KIT	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
IGF1R	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CBL	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NFE2L2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PRDM1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CDKN1B	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FOXP1	TNBC	0.2	brca_mbcproject_wagle_2017	Metastasis	9	8
GNAS	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
AKT2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
REL	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
BRAF	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
EPHA3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
RARA	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NOTCH2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
KDR	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
USP9X	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PARP1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ARID5B	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
SRC	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
SUFU	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
MDM2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PDGFRB	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
BRIP1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PTCH1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FANCC	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
RET	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ASXL2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ETV1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
CARD11	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NTRK3	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
RB1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
AKT1	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
TSC2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
FBXW7	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
NF2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
ERCC2	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
STK11	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
SMAD4	TNBC	0	brca_mbcproject_wagle_2017	Metastasis	9	8
PIK3CA	all	0.4056	brca_mbcproject_wagle_2017	Metastasis	116	103
KMT2C	all	0.0722	brca_mbcproject_wagle_2017	Metastasis	116	103
KMT2D	all	0.0556	brca_mbcproject_wagle_2017	Metastasis	116	103
MTOR	all	0.0333	brca_mbcproject_wagle_2017	Metastasis	116	103
SYNE1	all	0.0611	brca_mbcproject_wagle_2017	Metastasis	116	103
CDH1	all	0.1	brca_mbcproject_wagle_2017	Metastasis	116	103
PTEN	all	0.0611	brca_mbcproject_wagle_2017	Metastasis	116	103
ESR1	all	0.0556	brca_mbcproject_wagle_2017	Metastasis	116	103
SETD2	all	0.05	brca_mbcproject_wagle_2017	Metastasis	116	103
NCOR1	all	0.0333	brca_mbcproject_wagle_2017	Metastasis	116	103
ARID1A	all	0.0333	brca_mbcproject_wagle_2017	Metastasis	116	103
TBX3	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
CDKN2A	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
ERBB2	all	0.0389	brca_mbcproject_wagle_2017	Metastasis	116	103
IKBKE	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
TET2	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
FLT1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
PIK3CG	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
NSD1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
MET	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
AMER1	all	0.0444	brca_mbcproject_wagle_2017	Metastasis	116	103
NF1	all	0.0333	brca_mbcproject_wagle_2017	Metastasis	116	103
TAF1	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
CBFB	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
UBR5	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
EP300	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
FANCD2	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
JAK3	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
ERBB3	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
MAP3K1	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
PALB2	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
MDM4	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
JAK2	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
FLT4	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
APC	all	0.0389	brca_mbcproject_wagle_2017	Metastasis	116	103
ATRX	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
EGFR	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
ERCC5	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
CDC73	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
KMT2A	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
IRS2	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
AR	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
MYH9	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
AKAP9	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
DDR2	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
ASXL1	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
SMARCA4	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
ATM	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
KRAS	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
RUNX1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
BAP1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
CREBBP	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
AURKB	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
ERBB4	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
NOTCH1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
PTPRD	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
PBRM1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
RAD50	all	0.0278	brca_mbcproject_wagle_2017	Metastasis	116	103
ERCC3	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
MAPK1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
ABL1	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
SF3B1	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
FGFR2	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
PIK3CD	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
PDE4DIP	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
FANCA	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
FGFR1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
MSH6	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
CD79B	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
ROS1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
CTCF	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
NTRK1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
NPM1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
PMS2	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
WT1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
ATR	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
PTPRT	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
BLM	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
KDM6A	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
FH	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
PIK3R1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
MSH2	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
AURKA	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
DNMT3A	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
BRCA1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
AKT3	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
SDHA	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
CDK12	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
GNAQ	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
HNF1A	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
BRCA2	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
KDM5C	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
BCL6	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
PHOX2B	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
PIK3CB	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
TNFAIP3	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
SMARCD1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
GPR124	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
MPL	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
XPO1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
CASP8	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
CCND3	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
MAP3K13	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
GATA3	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
MAP2K4	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
FLCN	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
ARID2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
MEN1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
MRE11A	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
MITF	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
DICER1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
KIT	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
IGF1R	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
CBL	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
NFE2L2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
PRDM1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
CDKN1B	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
FOXP1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
GNAS	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
AKT2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
REL	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
BRAF	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
EPHA3	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
RARA	all	0.0222	brca_mbcproject_wagle_2017	Metastasis	116	103
NOTCH2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
KDR	all	0.0167	brca_mbcproject_wagle_2017	Metastasis	116	103
USP9X	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
PARP1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
ARID5B	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
SRC	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
SUFU	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
MDM2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
PDGFRB	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
BRIP1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
PTCH1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
FANCC	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
RET	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
ASXL2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
ETV1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
CARD11	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
NTRK3	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
RB1	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
AKT1	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
TSC2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
FBXW7	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
NF2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
ERCC2	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
STK11	all	0.0111	brca_mbcproject_wagle_2017	Metastasis	116	103
SMAD4	all	0.0056	brca_mbcproject_wagle_2017	Metastasis	116	103
PIK3CA	HR+	0.4506	brca_metabric	Primary	1413	1413
SYNE1	HR+	0.1016	brca_metabric	Primary	1413	1413
KMT2C	HR+	0.0844	brca_metabric	Primary	1413	1413
KMT2D	HR+	0.0622	brca_metabric	Primary	1413	1413
PDE4DIP	HR+	0.0472	brca_metabric	Primary	1413	1413
AKAP9	HR+	0.0415	brca_metabric	Primary	1413	1413
MAP3K1	HR+	0.0651	brca_metabric	Primary	1413	1413
NOTCH1	HR+	0.0458	brca_metabric	Primary	1413	1413
AKT1	HR+	0.0472	brca_metabric	Primary	1413	1413
ARID1A	HR+	0.0365	brca_metabric	Primary	1413	1413
ROS1	HR+	0.0222	brca_metabric	Primary	1413	1413
ATR	HR+	0.0322	brca_metabric	Primary	1413	1413
CDH1	HR+	0.0436	brca_metabric	Primary	1413	1413
MYH9	HR+	0.0272	brca_metabric	Primary	1413	1413
EP300	HR+	0.025	brca_metabric	Primary	1413	1413
NCOR1	HR+	0.0308	brca_metabric	Primary	1413	1413
ERBB2	HR+	0.0236	brca_metabric	Primary	1413	1413
TAF1	HR+	0.0122	brca_metabric	Primary	1413	1413
NF1	HR+	0.03	brca_metabric	Primary	1413	1413
PTPRD	HR+	0.0279	brca_metabric	Primary	1413	1413
ERBB3	HR+	0.025	brca_metabric	Primary	1413	1413
USP9X	HR+	0.0207	brca_metabric	Primary	1413	1413
SETD2	HR+	0.0229	brca_metabric	Primary	1413	1413
FANCA	HR+	0.0193	brca_metabric	Primary	1413	1413
APC	HR+	0.0193	brca_metabric	Primary	1413	1413
TBX3	HR+	0.0272	brca_metabric	Primary	1413	1413
ALK	HR+	0.0215	brca_metabric	Primary	1413	1413
ARID1B	HR+	0.0215	brca_metabric	Primary	1413	1413
PTEN	HR+	0.0243	brca_metabric	Primary	1413	1413
ASXL1	HR+	0.02	brca_metabric	Primary	1413	1413
SF3B1	HR+	0.0372	brca_metabric	Primary	1413	1413
GATA3	HR+	0.0372	brca_metabric	Primary	1413	1413
KDM6A	HR+	0.0179	brca_metabric	Primary	1413	1413
ASXL2	HR+	0.0243	brca_metabric	Primary	1413	1413
UBR5	HR+	0.0172	brca_metabric	Primary	1413	1413
ARID2	HR+	0.0165	brca_metabric	Primary	1413	1413
MAP2K4	HR+	0.0243	brca_metabric	Primary	1413	1413
GPR124	HR+	0.025	brca_metabric	Primary	1413	1413
ARID5B	HR+	0.0136	brca_metabric	Primary	1413	1413
RB1	HR+	0.0114	brca_metabric	Primary	1413	1413
RUNX1	HR+	0.0136	brca_metabric	Primary	1413	1413
PIK3R1	HR+	0.0107	brca_metabric	Primary	1413	1413
CBFB	HR+	0.0272	brca_metabric	Primary	1413	1413
FANCD2	HR+	0.0114	brca_metabric	Primary	1413	1413
EGFR	HR+	0.0143	brca_metabric	Primary	1413	1413
PBRM1	HR+	0.01	brca_metabric	Primary	1413	1413
BRCA2	HR+	0.0136	brca_metabric	Primary	1413	1413
JAK1	HR+	0.0136	brca_metabric	Primary	1413	1413
BRCA1	HR+	0.0107	brca_metabric	Primary	1413	1413
LIFR	HR+	0.0093	brca_metabric	Primary	1413	1413
ERBB4	HR+	0.0129	brca_metabric	Primary	1413	1413
BAP1	HR+	0.0093	brca_metabric	Primary	1413	1413
CASP8	HR+	0.0093	brca_metabric	Primary	1413	1413
CTCF	HR+	0.025	brca_metabric	Primary	1413	1413
FLT3	HR+	0.0086	brca_metabric	Primary	1413	1413
SMAD4	HR+	0.0114	brca_metabric	Primary	1413	1413
FBXW7	HR+	0.0064	brca_metabric	Primary	1413	1413
BRIP1	HR+	0.0093	brca_metabric	Primary	1413	1413
MAP3K13	HR+	0.0086	brca_metabric	Primary	1413	1413
MEN1	HR+	0.0086	brca_metabric	Primary	1413	1413
STK11	HR+	0.0072	brca_metabric	Primary	1413	1413
CDKN2A	HR+	0.0043	brca_metabric	Primary	1413	1413
KRAS	HR+	0.0057	brca_metabric	Primary	1413	1413
NF2	HR+	0.0057	brca_metabric	Primary	1413	1413
CDKN1B	HR+	0.0072	brca_metabric	Primary	1413	1413
