Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Karyotype band	Gene name
ENSG00000255239	118688033	118690599	11	q23.3	TREHP1
ENSG00000255422	118700427	118750263	11	q23.3	AP002954.1
ENSG00000207462	118702342	118702447	11	q23.3	RNU6-376P
ENSG00000287238	118721104	118729412	11	q23.3	AP002954.2
ENSG00000110367	118747763	118791164	11	q23.3	DDX6
ENSG00000278376	118791254	118793137	11	q23.3	AP004609.3
ENSG00000254478	118821895	118822084	11	q23.3	AP004609.2
ENSG00000254621	118833846	118834556	11	q23.3	SETP16
ENSG00000201535	118836010	118836111	11	q23.3	Y_RNA
ENSG00000160683	118883892	118897787	11	q23.3	CXCR5
ENSG00000245869	118885841	118887742	11	q23.3	AP004609.1
ENSG00000186174	118893875	118925608	11	q23.3	BCL9L
ENSG00000264211	118910708	118910787	11	q23.3	MIR4492
ENSG00000110375	118925164	118958559	11	q23.3	UPK2
ENSG00000239726	118931216	118931490	11	q23.3	RN7SL688P
ENSG00000222529	118970498	118970595	11	q23.3	Y_RNA
ENSG00000176302	118971712	118981287	11	q23.3	FOXR1
ENSG00000280502	118994334	118994630	11	q23.3	Metazoa_SRP
ENSG00000283691	118994560	118994655	11	q23.3	Y_RNA
ENSG00000255121	118994824	118998004	11	q23.3	CCDC84-DT
ENSG00000186166	118998138	119015793	11	q23.3	CCDC84
ENSG00000240970	119003012	119003446	11	q23.3	RPL23AP64
ENSG00000254428	119003742	119004893	11	q23.3	AP003392.1
ENSG00000254909	119005727	119005934	11	q23.3	AP003392.2
ENSG00000118181	119015712	119018691	11	q23.3	RPS25
ENSG00000196655	119018763	119025454	11	q23.3	TRAPPC4
ENSG00000283704	119018944	119019012	11	q23.3	AP003392.11
ENSG00000137700	119024114	119030906	11	q23.3	SLC37A4
ENSG00000149428	119044188	119057227	11	q23.3	HYOU1
ENSG00000255114	119044188	119045493	11	q23.3	AP003392.3
ENSG00000271751	119065263	119065677	11	q23.3	AP003392.4
ENSG00000272186	119067374	119067698	11	q23.3	AP003392.5
ENSG00000160695	119067818	119081972	11	q23.3	VPS11
ENSG00000256269	119084866	119093549	11	q23.3	HMBS
ENSG00000188486	119093854	119095467	11	q23.3	H2AX
ENSG00000172269	119096503	119108331	11	q23.3	DPAGT1
ENSG00000172375	119102198	119118544	11	q23.3	C2CD2L
ENSG00000172273	119121580	119136059	11	q23.3	HINFP
ENSG00000172350	119149052	119162653	11	q23.3	ABCG4
ENSG00000160703	119166568	119184016	11	q23.3	NLRX1
ENSG00000172367	119185457	119190223	11	q23.3	PDZD3
ENSG00000248712	119189638	119196769	11	q23.3	CCDC153
ENSG00000110395	119206298	119313926	11	q23.3	CBL
ENSG00000222249	119289562	119289677	11	q23.3	RNU6-262P
ENSG00000076706	119308529	119321521	11	q23.3	MCAM
ENSG00000284148	119312950	119313012	11	q23.3	MIR6756
ENSG00000252119	119323293	119323409	11	q23.3	AP002956.1
ENSG00000173456	119334527	119337309	11	q23.3	RNF26
ENSG00000245385	119336249	119337309	11	q23.3	AP003396.1
ENSG00000235718	119338942	119346705	11	q23.3	MFRP
ENSG00000223953	119338942	119340940	11	q23.3	C1QTNF5
ENSG00000036672	119355215	119381711	11	q23.3	USP2
ENSG00000245248	119364359	119526664	11	q23.3	USP2-AS1
ENSG00000254740	119372706	119381613	11	q23.3	AP003396.3
ENSG00000254590	119402792	119404088	11	q23.3	AP003396.2
ENSG00000254892	119403963	119404227	11	q23.3	AP003396.4
ENSG00000154096	119415476	119424985	11	q23.3	THY1
ENSG00000263873	119417951	119419114	11	q23.3	THY1-AS1
ENSG00000255377	119444991	119445519	11	q23.3	DUXAP5
ENSG00000230716	119602875	119604306	11	q23.3	KRT8P7
ENSG00000254561	119608423	119659284	11	q23.3	AP003393.1
ENSG00000110400	119623408	119729200	11	q23.3	NECTIN1
ENSG00000199217	119656311	119656416	11	q23.3	RNU6-1123P
ENSG00000255247	119709920	119713925	11	q23.3	NECTIN1-AS1
ENSG00000254854	119729583	119739623	11	q23.3	AP003390.1
ENSG00000254406	119821304	119822129	11	q23.3	AP001994.1
ENSG00000287545	119832966	119867682	11	q23.3	AP001994.2
ENSG00000288047	119892700	119919996	11	q23.3	AP001994.3
ENSG00000286992	119976111	120009588	11	q23.3	AP001360.3
ENSG00000254863	119987952	119995037	11	q23.3	LINC02744
ENSG00000255216	120008044	120013620	11	q23.3	AP001360.1
ENSG00000286731	120026753	120028341	11	q23.3	AP001360.2
ENSG00000137699	120111286	120185529	11	q23.3	TRIM29
ENSG00000176984	120168977	120171679	11	q23.3	AP000679.1
ENSG00000184232	120211032	120230334	11	q23.3	OAF
ENSG00000137709	120236640	120319945	11	q23.3	POU2F3
ENSG00000259541	120249759	120265932	11	q23.3	AP001150.1
ENSG00000181264	120325296	120333686	11	q23.3	TLCD5
ENSG00000196914	120336413	120489937	11	q23.3	ARHGEF12
ENSG00000274303	120365666	120365963	11	q23.3	AP000659.1
ENSG00000149403	120511746	120988906	11	q23.3	GRIK4
ENSG00000255006	120619934	120620267	11	q23.3	ELOCP22
ENSG00000250493	120867933	120894797	11	q23.3	AP004147.1
ENSG00000254735	120936102	120936654	11	q23.3	HMGB1P42
ENSG00000154114	121024072	121090775	11	q23.3	TBCEL
ENSG00000285509	121024125	121113108	11	q23.3	TBCEL-TECTA
ENSG00000109927	121101173	121191493	11	q23.3	TECTA
ENSG00000254515	121238304	121238688	11	q23.3	AP001124.1
ENSG00000244400	121250270	121250978	11	q23.3	RPS4XP12
ENSG00000109929	121292681	121313410	11	q23.3	SC5D
ENSG00000232460	121361854	121362865	11	q24.1	BMPR1AP2
ENSG00000271022	121426645	121427416	11	q24.1	AP002365.1
ENSG00000246790	121447331	121453013	11	q24.1	AP000977.1
ENSG00000137642	121452314	121633763	11	q24.1	SORL1
ENSG00000286044	121674261	121928976	11	q24.1	AP001977.1
ENSG00000286023	121979571	122025937	11	q24.1	AP001924.1
ENSG00000252556	122004355	122004451	11	q24.1	RNU6-256P
ENSG00000286497	122026093	122027667	11	q24.1	AP001924.2
ENSG00000255248	122028325	122556721	11	q24.1	MIR100HG
ENSG00000207971	122099757	122099844	11	q24.1	MIR125B1
ENSG00000259571	122115340	122116215	11	q24.1	BLID
ENSG00000198975	122146522	122146593	11	q24.1	MIRLET7A2
ENSG00000207994	122152229	122152308	11	q24.1	MIR100
ENSG00000255015	122294938	122301763	11	q24.1	AP000755.1
ENSG00000255219	122295190	122308019	11	q24.1	AP000755.2
ENSG00000252776	122449210	122449331	11	q24.1	RNU4ATAC10P
ENSG00000253035	122451474	122451599	11	q24.1	RNU4ATAC5P
ENSG00000223265	122579205	122579307	11	q24.1	RNU6-592P
ENSG00000254572	122613444	122614486	11	q24.1	GLULP3
ENSG00000254935	122618851	122619274	11	q24.1	AP002469.1
ENSG00000154127	122655722	122814473	11	q24.1	UBASH3B
ENSG00000286341	122679801	122681942	11	q24.1	AP002762.3
ENSG00000239079	122726208	122726311	11	q24.1	AP002762.1
ENSG00000285909	122751147	122851617	11	q24.1	AP002762.2
ENSG00000109943	122838500	122872643	11	q24.1	CRTAM
ENSG00000109944	122882683	122963862	11	q24.1	JHY
ENSG00000199709	122927034	122927173	11	q24.1	RNU4-23P
ENSG00000254944	122960327	122961086	11	q24.1	ATP5PBP5
ENSG00000188909	122977570	122981834	11	q24.1	BSX
ENSG00000213184	123017638	123018661	11	q24.1	AP003040.1
ENSG00000243669	123035867	123036224	11	q24.1	RPL34P23
ENSG00000244641	123049787	123050353	11	q24.1	RPS26P43
ENSG00000233541	123051161	123051401	11	q24.1	RPL31P47
ENSG00000109971	123057489	123063230	11	q24.1	HSPA8
ENSG00000200879	123058077	123058161	11	q24.1	SNORD14E
ENSG00000207118	123058909	123058995	11	q24.1	SNORD14D
ENSG00000202252	123059335	123059422	11	q24.1	SNORD14C
ENSG00000288061	123062655	123084870	11	q24.1	AP000926.2
ENSG00000166250	123069872	123195248	11	q24.1	CLMP
ENSG00000255342	123135923	123136376	11	q24.1	AP000926.1
ENSG00000254710	123188802	123228502	11	q24.1	AP001970.1
ENSG00000200496	123301390	123301523	11	q24.1	U8
ENSG00000254823	123313657	123315340	11	q24.1	LINC02727
ENSG00000254407	123340174	123340714	11	q24.1	PHBP17
ENSG00000023171	123358428	123627774	11	q24.1	GRAMD1B
ENSG00000265357	123381440	123381512	11	q24.1	MIR4493
ENSG00000254449	123597946	123599452	11	q24.1	SF3A3P2
ENSG00000166257	123629187	123655244	11	q24.1	SCN3B
ENSG00000254467	123668499	123675569	11	q24.1	AP002765.1
ENSG00000166261	123723914	123741675	11	q24.1	ZNF202
ENSG00000221931	123753488	123754545	11	q24.1	OR6X1
ENSG00000200197	123763927	123764089	11	q24.1	RNU1-21P
ENSG00000196099	123805335	123806387	11	q24.1	OR6M1
ENSG00000254613	123839035	123841930	11	q24.1	OR6M2P
ENSG00000254430	123861822	123862521	11	q24.1	OR6M3P
ENSG00000204300	123882920	123885670	11	q24.1	TMEM225
ENSG00000181518	123902167	123909229	11	q24.1	OR8D4
ENSG00000171014	123939543	123940637	11	q24.1	OR4D5
ENSG00000181499	123942785	123943873	11	q24.1	OR6T1
ENSG00000196248	123976661	123977781	11	q24.1	OR10S1
ENSG00000198674	123994163	123995161	11	q24.1	OR10G6
ENSG00000226461	124009655	124010012	11	q24.2	OR10G5P
ENSG00000254737	124012997	124018732	11	q24.2	OR10G4
ENSG00000236981	124023013	124023948	11	q24.2	OR10G9
ENSG00000234560	124026798	124030634	11	q24.2	OR10G8
ENSG00000182634	124036013	124041325	11	q24.2	OR10G7
ENSG00000213182	124054793	124055707	11	q24.2	OR10D5P
ENSG00000186268	124093592	124094532	11	q24.2	OR10D4P
ENSG00000213181	124104965	124111092	11	q24.2	OR10N1P
ENSG00000110002	124115404	124147721	11	q24.2	VWA5A
ENSG00000196403	124158421	124159356	11	q24.2	OR10D1P
ENSG00000197309	124183345	124188780	11	q24.2	OR10D3
ENSG00000239426	124207183	124208112	11	q24.2	OR8F1P
ENSG00000255425	124211707	124215828	11	q24.2	OR8G3P
ENSG00000181214	124224732	124225666	11	q24.2	OR8G2P
ENSG00000276316	124238420	124239486	11	q24.2	OR8G7P
ENSG00000197849	124241095	124254364	11	q24.2	OR8G1
ENSG00000255298	124256376	124266218	11	q24.2	OR8G5
ENSG00000255116	124273970	124274581	11	q24.2	SLC5A4P1
ENSG00000196341	124302831	124315099	11	q24.2	OR8D1
ENSG00000279116	124319238	124320288	11	q24.2	OR8D2
ENSG00000254976	124324871	124325789	11	q24.2	OR8B7P
ENSG00000255225	124338783	124339662	11	q24.2	OR8B6P
ENSG00000255030	124357560	124358469	11	q24.2	OR8B5P
ENSG00000227737	124365465	124367298	11	q24.2	OR8B1P
ENSG00000229254	124376877	124377801	11	q24.2	OR8C1P
ENSG00000284680	124382394	124384462	11	q24.2	OR8B2
ENSG00000284609	124395534	124399024	11	q24.2	OR8B3
ENSG00000255048	124404234	124405102	11	q24.2	OR8X1P
ENSG00000285561	124406997	124414792	11	q24.2	AP001804.1
ENSG00000280090	124423904	124424893	11	q24.2	OR8B4
ENSG00000197125	124437445	124445696	11	q24.2	OR8B8
ENSG00000255510	124460534	124461485	11	q24.2	OR8A2P
ENSG00000229386	124476963	124482870	11	q24.2	OR8B9P
ENSG00000254646	124516311	124517242	11	q24.2	OR8B10P
ENSG00000255315	124531625	124531910	11	q24.2	OR8A3P
ENSG00000254937	124538500	124539334	11	q24.2	AP000916.1
ENSG00000170953	124539635	124545333	11	q24.2	OR8B12
ENSG00000196119	124566660	124582942	11	q24.2	OR8A1
ENSG00000255341	124601584	124602238	11	q24.2	OR8Q1P
ENSG00000154143	124611428	124620356	11	q24.2	PANX3
ENSG00000154144	124622836	124635926	11	q24.2	TBRG1
ENSG00000110013	124633113	124695707	11	q24.2	SIAE
ENSG00000200278	124636459	124636592	11	q24.2	RNA5SP352
ENSG00000064199	124673844	124697518	11	q24.2	SPA17
ENSG00000154146	124739942	124747210	11	q24.2	NRGN
ENSG00000255045	124744634	124746337	11	q24.2	AP000866.5
ENSG00000019102	124747474	124752255	11	q24.2	VSIG2
ENSG00000149564	124752583	124762290	11	q24.2	ESAM
ENSG00000250073	124759129	124766119	11	q24.2	AP000866.2
ENSG00000120458	124766498	124800706	11	q24.2	MSANTD2
ENSG00000279342	124789240	124792818	11	q24.2	AP000866.6
ENSG00000254509	124791228	124791660	11	q24.2	AP000866.3
ENSG00000245498	124800424	124834487	11	q24.2	AP000866.1
ENSG00000254941	124807822	124808269	11	q24.2	AP000866.4
ENSG00000154134	124865432	124881471	11	q24.2	ROBO3
ENSG00000254568	124883691	124887789	11	q24.2	AP003501.1
ENSG00000154133	124883691	124898500	11	q24.2	ROBO4
ENSG00000254943	124891304	124892126	11	q24.2	AP003501.2
ENSG00000165478	124919205	124936412	11	q24.2	HEPACAM
ENSG00000221932	124919244	124920677	11	q24.2	HEPN1
ENSG00000285825	124949205	124954044	11	q24.2	CCDC15-DT
ENSG00000149548	124954121	125041489	11	q24.2	CCDC15
ENSG00000134955	125063302	125090516	11	q24.2	SLC37A2
ENSG00000150433	125096545	125111763	11	q24.2	TMEM218
ENSG00000187686	125113161	125126781	11	q24.2	KRT18P59
ENSG00000255475	125132847	125139587	11	q24.2	AP001007.2
ENSG00000254880	125158461	125164609	11	q24.2	PKNOX2-AS1
ENSG00000165495	125164687	125433389	11	q24.2	PKNOX2
ENSG00000259290	125188115	125191404	11	q24.2	AP001007.3
ENSG00000254932	125258626	125266798	11	q24.2	AP001007.1
ENSG00000222844	125277552	125277657	11	q24.2	RNU6-321P
ENSG00000149557	125442881	125592568	11	q24.2	FEZ1
ENSG00000255537	125495214	125499528	11	q24.2	AP000708.1
ENSG00000149547	125569280	125584684	11	q24.2	EI24
ENSG00000222297	125574719	125574818	11	q24.2	RNU6-1156P
ENSG00000134910	125591712	125625215	11	q24.2	STT3A
ENSG00000149554	125625665	125676255	11	q24.2	CHEK1
ENSG00000252255	125649746	125649887	11	q24.2	RNU2-35P
ENSG00000134940	125671522	125680874	11	q24.2	ACRV1
ENSG00000171053	125746279	125749867	11	q24.2	PATE1
ENSG00000196844	125776113	125778828	11	q24.2	PATE2
ENSG00000236027	125788127	125791600	11	q24.2	PATE3
ENSG00000237353	125833316	125840072	11	q24.2	PATE4
ENSG00000260209	125873031	125874528	11	q24.2	AP000842.3
ENSG00000198331	125883614	125900646	11	q24.2	HYLS1
ENSG00000110060	125893485	125903221	11	q24.2	PUS3
ENSG00000255027	125903247	125938916	11	q24.2	AP000842.2
ENSG00000109832	125903348	125943702	11	q24.2	DDX25
ENSG00000254790	125940496	125941193	11	q24.2	AP000842.1
ENSG00000283703	125946056	125958647	11	q24.2	VSIG10L2
ENSG00000064309	125955796	126063335	11	q24.2	CDON
ENSG00000254759	126067539	126068601	11	q24.2	NAP1L1P1
ENSG00000261257	126100505	126102413	11	q24.2	AP000821.1
ENSG00000287666	126121889	126128081	11	q24.2	AP000821.2
ENSG00000254833	126160714	126176035	11	q24.2	AP001893.3
ENSG00000254771	126179497	126179698	11	q24.2	AP001893.2
ENSG00000165526	126202096	126211692	11	q24.2	RPUSD4
ENSG00000254694	126208611	126209027	11	q24.2	AP001893.1
ENSG00000197798	126211724	126262984	11	q24.2	FAM118B
ENSG00000222067	126214260	126214478	11	q24.2	RNU4-86P
ENSG00000240098	126245035	126245282	11	q24.2	RN7SL351P
ENSG00000182934	126262938	126269144	11	q24.2	SRPRA
ENSG00000110074	126269055	126278131	11	q24.2	FOXRED1
ENSG00000243607	126278257	126278577	11	q24.2	RPL35AP26
ENSG00000150455	126283065	126298845	11	q24.2	TIRAP
ENSG00000254905	126292922	126294254	11	q24.2	AP001318.1
ENSG00000255062	126294298	126304318	11	q24.2	AP001318.2
ENSG00000110063	126304060	126350005	11	q24.2	DCPS
ENSG00000280832	126340889	126355587	11	q24.2	GSEC
ENSG00000110080	126355640	126440344	11	q24.2	ST3GAL4
ENSG00000278215	126376773	126376893	11	q24.2	AP001318.3
ENSG00000149571	126423358	127003460	11	q24.2	KIRREL3
ENSG00000257271	126543947	126610948	11	q24.2	KIRREL3-AS1
ENSG00000254607	126652852	126682104	11	q24.2	AP001783.1
ENSG00000254938	126920188	126940659	11	q24.2	AP002833.1
ENSG00000279358	126934886	126937150	11	q24.2	AP002833.3
ENSG00000254960	126940746	126945090	11	q24.2	KIRREL3-AS2
ENSG00000266215	126988458	126988542	11	q24.2	MIR3167
ENSG00000255317	126992452	126995458	11	q24.2	AP002833.2
ENSG00000218109	127002910	127006058	11	q24.2	KIRREL3-AS3
ENSG00000255087	127021736	127172363	11	q24.2	AP001993.1
ENSG00000272642	127188885	127223449	11	q24.2	AP003121.1
ENSG00000273409	127271029	127337033	11	q24.2	LINC02712
ENSG00000222774	127406028	127406332	11	q24.2	RN7SKP121
ENSG00000223315	127407851	127408148	11	q24.2	RN7SKP279
ENSG00000254591	127657568	127657877	11	q24.2	AP003532.1
ENSG00000254612	127940913	127941654	11	q24.3	DNAJB6P1
ENSG00000273415	128095758	128183671	11	q24.3	LINC02725
ENSG00000272575	128208749	128241441	11	q24.3	LINC02098
ENSG00000134954	128458761	128587558	11	q24.3	ETS1
ENSG00000276176	128522390	128522449	11	q24.3	MIR6090
ENSG00000254588	128526142	128530389	11	q24.3	ETS1-AS1
ENSG00000245008	128614340	128686922	11	q24.3	AP001122.1
ENSG00000151702	128686535	128813267	11	q24.3	FLI1
ENSG00000254703	128691672	128696023	11	q24.3	SENCR
ENSG00000151704	128836315	128867373	11	q24.3	KCNJ1
ENSG00000255369	128880325	128880668	11	q24.3	AP000920.1
ENSG00000120457	128891356	128921163	11	q24.3	KCNJ5
ENSG00000174370	128899565	128906035	11	q24.3	C11orf45
ENSG00000120471	128934731	128943399	11	q24.3	TP53AIP1
ENSG00000134909	128965060	129279324	11	q24.3	ARHGAP32
ENSG00000212597	128993237	128993340	11	q24.3	RNU6-876P
ENSG00000206847	129030459	129030572	11	q24.3	AP000751.1
ENSG00000199260	129202966	129203070	11	q24.3	RNU6-874P
ENSG00000255259	129295286	129296481	11	q24.3	ZNF123P
ENSG00000043039	129375848	129452279	11	q24.3	BARX2
ENSG00000240121	129537869	129538114	11	q24.3	RPS27P20
ENSG00000281386	129591493	129612110	11	q24.3	AP003500.1
ENSG00000281097	129612116	129617269	11	q24.3	LINC01395
ENSG00000287426	129761713	129814690	11	q24.3	AP003327.2
ENSG00000255188	129788064	129788190	11	q24.3	AP003327.1
ENSG00000151715	129815848	129860003	11	q24.3	TMEM45B
ENSG00000170322	129863636	129895590	11	q24.3	NFRKB
ENSG00000170325	129899706	130002835	11	q24.3	PRDM10
ENSG00000233220	130002938	130004356	11	q24.3	LINC00167
ENSG00000255057	130008586	130009765	11	q24.3	AP003041.1
ENSG00000255262	130032866	130033220	11	q24.3	ELOBP2
ENSG00000255535	130040365	130041071	11	q24.3	AP003041.2
ENSG00000084234	130068147	130144811	11	q24.3	APLP2
ENSG00000244451	130082495	130082781	11	q24.3	RPL34P21
ENSG00000274197	130114251	130114335	11	q24.3	U4
ENSG00000149418	130159782	130210362	11	q24.3	ST14
ENSG00000196323	130226677	130314917	11	q24.3	ZBTB44
ENSG00000255358	130285023	130285833	11	q24.3	NDUFAF2P2
ENSG00000255220	130295641	130296946	11	q24.3	DDX18P5
ENSG00000272412	130310180	130310476	11	q24.3	RN7SL778P
ENSG00000175773	130314993	130403657	11	q24.3	ZBTB44-DT
ENSG00000134917	130404923	130428609	11	q24.3	ADAMTS8
ENSG00000166106	130448974	130476641	11	q24.3	ADAMTS15
ENSG00000255155	130544643	130544856	11	q24.3	AP004371.1
ENSG00000236616	130546799	130547429	11	q24.3	BAK1P2
ENSG00000274999	130666735	130666803	11	q24.3	MIR8052
ENSG00000175728	130672956	130717352	11	q24.3	LINC02873
ENSG00000288013	130771413	130785533	11	q24.3	AP003486.2
ENSG00000255352	130789231	130791025	11	q24.3	PPP1R10P1
ENSG00000254842	130844191	130865561	11	q24.3	LINC02551
ENSG00000255455	130866254	130870247	11	q24.3	AP003486.1
ENSG00000120451	130875436	130916509	11	q25	SNX19
ENSG00000242673	131004128	131004429	11	q25	RN7SL167P
ENSG00000236129	131187022	131189753	11	q25	AP002856.3
ENSG00000227125	131204999	131215163	11	q25	AP002856.1
ENSG00000237612	131234538	131251816	11	q25	AP002856.4
ENSG00000231698	131253422	131350917	11	q25	AP002856.2
ENSG00000182667	131370478	132336822	11	q25	NTM
ENSG00000252351	131385249	131385363	11	q25	RNU6ATAC12P
ENSG00000237654	131502735	131540867	11	q25	AP003025.1
ENSG00000285980	131542030	131581145	11	q25	AP003025.2
ENSG00000224795	131622451	131663583	11	q25	NTM-AS1
ENSG00000271624	131770795	131771638	11	q25	AP004372.1
ENSG00000238117	131877680	131897108	11	q25	AP000844.2
ENSG00000224700	131981096	131984661	11	q25	AP000844.1
ENSG00000238262	132284302	132285081	11	q25	NTM-IT
ENSG00000279090	132403360	132404060	11	q25	AP000843.1
ENSG00000183715	132414977	133532519	11	q25	OPCML
ENSG00000283489	132525809	132525887	11	q25	U6
ENSG00000279497	132771623	132773371	11	q25	AP003784.1
ENSG00000255371	132859245	132860077	11	q25	OPCML-IT2
ENSG00000279711	133064697	133068129	11	q25	AP004782.1
ENSG00000279189	133297189	133302634	11	q25	AP003972.1
ENSG00000254896	133360029	133366080	11	q25	OPCML-IT1
ENSG00000287068	133532415	133549866	11	q25	AP004606.1
ENSG00000255258	133783671	133810376	11	q25	LINC02743
ENSG00000166118	133840631	133845538	11	q25	SPATA19
ENSG00000213153	133864877	133865627	11	q25	AP001979.1
ENSG00000080854	133896438	133956968	11	q25	IGSF9B
ENSG00000284020	133898504	133898581	11	q25	MIR4697
ENSG00000255406	134008215	134030167	11	q25	LINC02730
ENSG00000204241	134032216	134067936	11	q25	LINC02731
ENSG00000254648	134035832	134037107	11	q25	AP000911.1
ENSG00000166086	134069071	134152001	11	q25	JAM3
ENSG00000254481	134123828	134124329	11	q25	PTP4A2P2
ENSG00000151503	134150113	134225454	11	q25	NCAPD3
ENSG00000254616	134173095	134173680	11	q25	AP001775.1
ENSG00000255348	134178824	134186166	11	q25	AP001775.2
ENSG00000151502	134224671	134247788	11	q25	VPS26B
ENSG00000151500	134248279	134253370	11	q25	THYN1
ENSG00000151498	134253548	134265855	11	q25	ACAD8
ENSG00000166105	134274245	134319564	11	q25	GLB1L3
ENSG00000254442	134316782	134317088	11	q25	AP000859.1
ENSG00000149328	134331874	134378341	11	q25	GLB1L2
ENSG00000109956	134378504	134412242	11	q25	B3GAT1
ENSG00000255545	134412284	134505665	11	q25	AP004608.1
ENSG00000254573	134563396	134573056	11	q25	AP004550.1
ENSG00000286374	134655769	134661206	11	q25	AP001999.3
ENSG00000254989	134671426	134672024	11	q25	AP001999.1
ENSG00000285640	134685044	134702004	11	q25	AP001999.2
ENSG00000255344	134712539	134716250	11	q25	LINC02706
ENSG00000251226	134735596	134763810	11	q25	LINC02714
ENSG00000287251	134945118	134980574	11	q25	AP003062.2
ENSG00000255327	134950708	134951568	11	q25	LINC02697
ENSG00000279046	134985683	134986799	11	q25	AP003062.1
ENSG00000285735	134994982	135007779	11	q25	LINC02717
ENSG00000255512	135061781	135075908	11	q25	LINC02684
ENSG00000256263	12310	13501	12	p13.33	DDX11L8
ENSG00000226210	14522	32015	12	p13.33	WASH8P
ENSG00000249054	36602	38133	12	p13.33	FAM138D
ENSG00000120645	66767	178455	12	p13.33	IQSEC3
ENSG00000256948	106524	111850	12	p13.33	AC026369.3
ENSG00000249695	137411	149169	12	p13.33	AC026369.1
ENSG00000256694	164664	166321	12	p13.33	AC026369.2
ENSG00000256540	166856	182399	12	p13.33	AC007406.3
ENSG00000111181	190077	214570	12	p13.33	SLC6A12
ENSG00000255671	193036	194130	12	p13.33	AC007406.1
ENSG00000256577	203642	205094	12	p13.33	AC007406.4
ENSG00000010379	220621	262873	12	p13.33	SLC6A13
ENSG00000255746	253442	257299	12	p13.33	AC007406.2
ENSG00000261799	273954	277123	12	p13.33	AC007406.5
ENSG00000073614	280057	389320	12	p13.33	KDM5A
ENSG00000120647	389273	442642	12	p13.33	CCDC77
ENSG00000139044	459939	563509	12	p13.33	B4GALNT3
ENSG00000171840	564296	663779	12	p13.33	NINJ2
ENSG00000256020	585865	586486	12	p13.33	AC006205.2
ENSG00000238370	589530	589589	12	p13.33	RNU7-103P
ENSG00000255825	590633	591269	12	p13.33	AC006205.1
ENSG00000177406	630858	664196	12	p13.33	NINJ2-AS1
ENSG00000256672	674801	684127	12	p13.33	LINC02455
ENSG00000060237	752579	911452	12	p13.33	WNK1
ENSG00000221439	781133	781258	12	p13.33	RNU4ATAC16P
ENSG00000285704	865288	867139	12	p13.33	AC004765.1
ENSG00000002016	911736	990053	12	p13.33	RAD52
ENSG00000250132	974133	991190	12	p13.33	AC004803.1
ENSG00000082805	990509	1495933	12	p13.33	ERC1
ENSG00000275811	1151810	1153059	12	p13.33	HTR1DP1
ENSG00000249028	1380060	1391502	12	p13.33	AC004672.1
ENSG00000267285	1385833	1386987	12	p13.33	AC004672.2
ENSG00000249628	1500525	1504424	12	p13.33	LINC00942
ENSG00000111186	1529891	1647212	12	p13.33	WNT5B
ENSG00000171823	1565993	1594581	12	p13.33	FBXL14
ENSG00000266043	1660315	1660380	12	p13.33	MIR3649
ENSG00000006831	1688574	1788674	12	p13.33	ADIPOR2
ENSG00000271500	1695830	1698044	12	p13.33	AC005183.1
ENSG00000285627	1741197	1747099	12	p13.33	AC005343.1
ENSG00000243663	1757231	1758011	12	p13.33	RPS4XP14
ENSG00000151062	1791963	1918666	12	p13.33	CACNA2D4
ENSG00000287698	1800862	1807486	12	p13.33	AC005343.4
ENSG00000166159	1820267	1836753	12	p13.33	LRTM2
ENSG00000256706	1917951	1922867	12	p13.33	AC005342.2
ENSG00000235049	1929202	1936574	12	p13.33	LINC00940
ENSG00000151065	1946053	2004535	12	p13.33	DCP1B
ENSG00000151067	1970786	2697950	12	p13.33	CACNA1C
ENSG00000203593	2004666	2011392	12	p13.33	AC005342.1
ENSG00000256837	2018213	2020532	12	p13.33	CACNA1C-IT1
ENSG00000256257	2048352	2049463	12	p13.33	CACNA1C-IT2
ENSG00000278255	2217462	2217920	12	p13.33	AC005344.1
ENSG00000256025	2219485	2223479	12	p13.33	CACNA1C-AS4
ENSG00000256721	2269776	2288937	12	p13.33	CACNA1C-IT3
ENSG00000285555	2332861	2335702	12	p13.33	AC005293.1
ENSG00000285734	2440189	2457392	12	p13.33	AC005414.1
ENSG00000256769	2603350	2607440	12	p13.33	CACNA1C-AS3
ENSG00000203648	2659937	2660969	12	p13.33	AC007618.1
ENSG00000256271	2668500	2672220	12	p13.33	CACNA1C-AS2
ENSG00000246627	2676001	2691200	12	p13.33	CACNA1C-AS1
ENSG00000256150	2695765	2812902	12	p13.33	ITFG2-AS1
ENSG00000283587	2726400	2727050	12	p13.33	AC092471.2
ENSG00000274659	2740064	2746662	12	p13.33	LINC02371
ENSG00000256902	2752597	2753132	12	p13.33	IQSEC3P1
ENSG00000255669	2761200	2775658	12	p13.33	AC092471.1
ENSG00000224438	2781904	2782371	12	p13.33	RPL23AP14
ENSG00000256030	2786931	2794295	12	p13.33	CBX3P4
ENSG00000004478	2794970	2805423	12	p13.33	FKBP4
ENSG00000258325	2796877	2812902	12	p13.33	ITFG2-AS1
ENSG00000258092	2797136	2803938	12	p13.33	AC005841.1
ENSG00000111203	2812622	2859791	12	p13.33	ITFG2
ENSG00000053702	2825348	2835544	12	p13.33	NRIP2
ENSG00000283297	2849046	2857039	12	p13.33	TEX52
ENSG00000111206	2857680	2877174	12	p13.33	FOXM1
